actor_id,surname,given_name,middle_name,birth_year,position_code,position_title,,,,,,
usa.1971.001,Rubio,Marco,Antonio,1971,usa.min.forn.exc.01,Secretary of State,,,,,,
usa.1962.001,Bessent,Scott,,1962,usa.min.fisc.exc.01,Secretary of the Treasury,,,,,,
usa.1980.001,Hegseth,Pete,,1980,usa.min.dfns.exc.01,Secretary of Defense,,,,,,
usa.1965.001,Bondi,Pam,,1965,usa.min.jstc.exc.01,Attorney General,,,,,,
usa.1948.001,McMahon,Linda,,1948,usa.min.educ.exc.01,Secretary of Education,,,,,,
usa.1954.001,Kennedy,Robert,F.,1954,usa.min.hlth.exc.01,Secretary of Health and Human Services,,,,,,
usa.1956.001,Burgum,Doug,,1956,usa.min.resr.exc.01,Secretary of the Interior,,,,,,
usa.1961.001,Lutnick,Howard,,1961,usa.min.comc.exc.01,Secretary of Commerce,,,,,,
usa.1965.002,Wright,Chris,,1965,usa.min.scnc.exc.01,Secretary of Energy,,,,,,
usa.1965.003,Ratcliffe,John,,1965,usa.min.intl.exc.01,Director of CIA,,,,,,
usa.1966.001,Collins,Doug,,1966,usa.min.dfns.vet.exc.01,Secretary of Veterans Affairs,,,,,,
usa.1968.001,Chavez-DeRemer,Lori,,1968,usa.min.labr.exc.01,Secretary of Labor,,,,,,
usa.1971.002,Duffy,Sean,,1971,usa.min.infr.exc.01,Secretary of Transportation,,,,,,
usa.1971.003,Noem,Kristi,,1971,usa.min.gndm.exc.01,Secretary of Homeland Security,,,,,,
usa.1972.001,Rollins,Brooke,,1972,usa.min.agrc.exc.01,Secretary of Agriculture,,,,,,
usa.1972.002,Turner,Scott,,1972,usa.min.hous.exc.01,Secretary of Housing and Urban Development,,,,,,
usa.1974.001,Waltz,Mike,,1974,usa.amb.igo.001.exc.01,UN Ambassador,,,,,,
usa.1976.001,Vought,Russell,,1976,usa.hos.fisc.exc.01,Director of OMB,,,,,,
usa.1980.002,Zeldin,Lee,,1980,usa.min.resr.env.exc.01,Administrator of EPA,,,,,,
usa.1980.003,Greer,Jamieson,,1980,usa.hos.trde.exc.01,US Trade Representative,,,,,,
usa.1981.001,Gabbard,Tulsi,,1981,usa.hos.intl.exc.01,Director of National Intelligence,,,,,,
usa.1946.001,Trump ,Donald,,1946,usa.hos,President of the United States,,,,,,
fra.1986.001,LeCornu,Sebastien,,1986,fra.hog,Prime Minister of the Republic,,,,,,
fra.1977.001,Macron,Emmanuel,,1977,fra.hos,President of the Republic,,,,,,
fra.1983.001,Barrot,Jean-Noel,,1983,fra.min.forn.exc.01,Minister for Europe and Foreign Affairs,,,,,,
fra.1964.001,Nunez,Laurent,,1964,fra.min.gndm.exc.01,Minister of the Interior,,,,,,
fra.1960.001,Vautrin,Catherine,,1960,fra.min.dfns.exc.01,Minister of the Armed Forces,,,,,,
fra.1966.001,Lescure,Roland,,1966,fra.min.fisc.exc.01,Minister of the Economy and Finance,,,,,,
fra.1982.0001,Darmanin,Gerald Moussa,Jean,1982,fra.min.jstc.exc.01,Minister of Justice,,,,,,
fra.1978.001,Geffray,Edouard,,1978,fra.min.educ.exc.01,Minister of National Education,,,,,,
fra.1965.001,Dati,Rachida,,1965,fra.min.cltr.exc.01,Minister of Culture,,,,,,
fra.1973.001,Rist,Stephanie,,1973,fra.min.hlth.exc.01,Minister of Health,,,,,,
fra.1957.001,Farandou,Jean-Pierre,,1957,fra.min.labr.exc.01,Minister of Labour,,,,,,
fra.1956.001,Barbut,Monique,,1956,fra.min.resr.exc.01,Minister for the Ecological Transition and Territorial Cohesion,,,,,,
fra.1956.002,Genevard,Annie,,1956,fra.min.agrc.exc.01,Minister of Agriculture and Food Sovereignty,,,,,,
fra.1984.001,Jeanbrun,Vincent,,1984,fra.min.hous.exc.01,Minister of Housing,,,,,,
fra.1970.001,Tarabot,Philippe,,1970,fra.min.infr.exc.01,Minister of Transport,,,,,,
fra.1972.001,Baptiste,Philippe,,1972,fra.min.educ.trt.exc.01,Minister of Higher Education and Research,,,,,,
fra.1980.001,Moutchou,Naima,,1980,fra.min.spec.ext.exc.01,Minister of Overseas Territories,,,,,,
fra.1973.002,Averous,Gil,,1973,fra.min.cltr.ath.exc.01,Minister of Sports and the Olympic and Paralympic Games,,,,,,
gbr.1962.001,Starmer,Kier,,1962,gbr.hog,Prime Minister of the United Kingdom of Great Britain and Northern Ireland,,,,,,
gbr.1969.001,Cooper,Yvette,,1969,gbr.min.forn.exc.01,"Secretary of State for Foreign, Commonwealth and Development Affairs",,,,,,
gbr.1980.001,Mahmood,Shabana,,1980,gbr.min.gndm.exc.01,Secretary of State for the Home Department,,,,,,
gbr.1979.001,Reeves,Rachel,,1979,gbr.min.fisc.exc.01,Chancellor of the Exchequer,,,,,,
gbr.1960.001,healey,John,,1960,gbr.min.dfns.exc.01,Secretary of State for Defence,,,,,,
gbr.1972.001,Lammy,David,,1972,gbr.min.jstc.exc.01,Secretary of State for Justice,,,,,,
gbr.1983.001,Streeting,Wesley,Paul William,1983,gbr.min.hlth.exc.01,Secretary of State for Health and Social Care,,,,,,
gbr.1983.002,Philipson,Bridget ,Maeve,1983,gbr.min.educ.exc.01,Secretary of State for Education,,,,,,
gbr.1970.001,Kyle,Peter,John,1970,gbr.min.comc.exc.01,Secretary of State for Business and Trade,,,,,,
gbr.1969.002,Milliband,Edward,Samuel,1969,gbr.min.resr.exc.01,Secretary of State for Energy Security and Net Zero,,,,,,
gbr.1971.001,Kendall,Elizabeth,Louise,1971,gbr.min.scnc.exc.01,"Secretary of State for Science, Innovation and Technology",,,,,,
gbr.1977.001,Reynolds,Emma,,1977,gbr.min.agrc.exc.01,"Secretary of State for Environment, Food and Rural Affairs",,,,,,
gbr.1975.001,Alexander,Heidi,,1975,gbr.min.infr.exc.01,Secretary of State for Transport,,,,,,
gbr.1965.001,McFadden,Patrick,,1966,gbr.min.labr.exc.01,Secretary of State for Work and Pensions,,,,,,
gbr.1963.001,Reed,Steven,Mark Ward,1963,gbr.min.hous.exc.01,"Secretary of State for Housing, Communities and Local Government",,,,,,
gbr.1979.002,Nandy,Lisa,Eva,1979,gbr.min.cltr.exc.01,"Secretary of State for Culture, Media and Sport",,,,,,
gbr.1953.001,Benn,Hilary,James Wedgwood,1953,gbr.min.spec.int.01.exc.01,Secretary of State for Northern Ireland,,,,,,
gbr.1967.001,Alexander,Douglas,Garven,1967,gbr.min.spec.int.02.exc.01,Secretary of State for Scotland,,,,,,
gbr.1966.001,Stevens,Joanna,Meriel,1966,gbr.min.spec.int.03.exc.01,Secretary of State for Wales,,,,,,
