event_code,rec_timestamp,event_actor,action_code,action_type,rel_cred,cie_body,identified_subjects,identified_objects,source_article_id
e.11012026.waf.001,2026-01-12 16:33:13,deu.min.spec.int.dig.exc.01,sn,Political-Diplomatic,6-C,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.23122025.nea.001,2025-12-23 09:34:02,usa.1968.001,ki,Legal-Juridical,1-D,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.10012026.eeu.001,2026-01-10 09:56:27,tur.1975.001,rg,Legal-Juridical,3-E,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.05122025.eaf.001,2025-12-05 04:09:03,fra.1965.001,r-po,Report Release,4-F,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.06012026.eeu.001,2026-01-07 11:24:09,rus.min.spec.int.exc.01,wn,Political-Popular,6-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.27012026.caf.001,2026-01-28 02:38:06,aus.1978.003,dp,Military-Kinetic,1-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.21012026.eeu.001,2026-01-22 21:58:36,aus.min.labr.exc.01,nt,Legal-Legislative,1-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.20122025.mea.001,2025-12-21 04:47:47,esp.min.spec.ops.exc.01,c-or,Claim-Rumor,4-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.25012026.nam.001,2026-01-26 22:36:53,deu.1987.001,bg,Political-Operational,1-F,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.30122025.mea.001,2025-12-30 16:14:01,deu.min.jstc.exc.01,ts,Legal-Legislative,3-A,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.04012026.eaf.001,2026-01-05 15:44:17,aus.1973.004,dv,Military-Kinetic,2-C,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.11112025.eaf.001,2025-11-12 06:52:22,gnb.hos,mg,Commercial-Operational,5-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.13012026.sas.001,2026-01-14 10:22:24,deu.1973.002,dt,Miscellaneous-General,5-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.19012026.nam.001,2026-01-21 00:09:58,aus.min.fisc.exc.01,sp,Political-Diplomatic,2-D,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.22112025.weu.001,2025-11-22 10:58:10,rus.1952.001,c-or,Claim-Rumor,1-B,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
e.02112025.weu.001,2025-11-02 11:35:25,gbr.1980.001,s-al,Statement-Inflected,2-D,"$ usa.hos {s-pr} / rus<>ukr
  ▪ {s-st} rus.hos x[rv] {s-pr}",usa.hos,rus.hos,
