actor_id,position_code,tenure_start,tenure_end,notes
usa.1971.001,usa.min.forn.exc.01,21-01-25,,Trump IV
usa.1962.001,usa.min.fisc.exc.01,28-01-25,,Trump IV
usa.1980.001,usa.min.dfns.exc.01,25-01-25,,Trump IV
usa.1965.001,usa.min.jstc.exc.01,05-02-25,,Trump IV
usa.1948.001,usa.min.educ.exc.01,03-03-25,,Trump IV
usa.1954.001,usa.min.hlth.exc.01,13-02-25,,Trump IV
usa.1956.001,usa.min.resr.exc.01,01-02-25,,Trump IV
usa.1961.001,usa.min.comc.exc.01,21-02-25,,Trump IV
usa.1965.002,usa.min.scnc.exc.01,03-02-25,,Trump IV
usa.1965.003,usa.min.intl.exc.01,23-01-25,,Trump IV
usa.1966.001,usa.min.dfns.vet.exc.01,05-02-25,,Trump IV
usa.1968.001,usa.min.labr.exc.01,11-03-25,,Trump IV
usa.1971.002,usa.min.infr.exc.01,28-01-25,,Trump IV
usa.1971.003,usa.min.gndm.exc.01,25-01-25,,Trump IV
usa.1972.001,usa.min.agrc.exc.01,13-02-25,,Trump IV
usa.1972.002,usa.min.hous.exc.01,05-02-25,,Trump IV
usa.1974.001,usa.amb.igo.001.exc.01,21-09-25,,Trump IV
usa.1976.001,usa.hos.fisc.exc.01,07-02-25,,Trump IV
usa.1980.002,usa.min.resr.env.exc.01,29-01-25,,Trump IV
usa.1980.003,usa.hos.trde.exc.01,27-02-25,,Trump IV
usa.1981.001,usa.hos.intl.exc.01,12-02-25,,Trump IV
usa.1946.001,usa.hos,20-01-25,,
fra.1986.001,fra.hog,09-09-25,,
fra.1977.001,fra.hos,14-05-17,,
fra.1983.001,fra.min.forn.exc.01,21-09-24,,LeCornu I
fra.1964.001,fra.min.gndm.exc.01,12-10-25,,LeCornu I
fra.1960.001,fra.min.dfns.exc.01,12-10-25,,LeCornu I
fra.1966.001,fra.min.fisc.exc.01,05-10-25,,LeCornu I
fra.1982.0001,fra.min.jstc.exc.01,23-12-24,,LeCornu I
